Descriptor name,Chosen descriptor,Mode,Type,Complexity,Related descriptors,Comment,Range,Description,Links
sharpness,ac_sharpness,-,numeric,,,,0-100,Sharpness of the audio signal. A sharp sound is one that suggests it might cut if it were to take on physical form.,
silence_rate,lowlevel.silence_rate_30dB,mean,numeric,,lowlevel.silence_rate_60dB,,0-1,"Amount of silence in the audio signal, computed by the fraction of frames with instant power below 30dB.",http://essentia.upf.edu/documentation/reference/streaming_SilenceRate.html
single_event,ac_single_event,-,boolean,,,,,Whether the audio signal contains one single audio event or more than one. This computation is based on the loudness of the signal and does not do any frequency analysis.,
spectral_centroid,lowlevel.spectral_centroid,mean,numeric,advanced,,,,"Spectral centroid of the audio signal, indicating where the ""center of mass"" of the spectrum is. It correlates with the perception of ""brightness"" of a sound, making it useful for characterizing musical timbre. It is computed as the weighted mean of the signal's frequencies, weighted by their magnitudes.","http://essentia.upf.edu/documentation/reference/streaming_Centroid.html, https://en.wikipedia.org/wiki/Spectral_centroid"
spectral_complexity,lowlevel.spectral_complexity,mean,numeric,advanced,,,,"Spectral complexity of the audio signal's spectrum, based on the number of peaks in the spectrum.",http://essentia.upf.edu/documentation/reference/streaming_SpectralComplexity.html
spectral_crest,lowlevel.spectral_crest,mean,numeric,advanced,,,,"Dominance of the strongest spectral peak (crest) compared to the rest, computed as the ratio between the maximum and mean spectral magnitudes.",http://essentia.upf.edu/documentation/reference/streaming_Crest.html
spectral_energy,lowlevel.spectral_energy,mean,numeric,advanced,,,,Energy in the spectrum of the audio signal. It represents the total magnitude of all frequency components and indicates how much power is present across the spectrum.,http://essentia.upf.edu/documentation/reference/streaming_Energy.html
spectral_entropy,lowlevel.spectral_entropy,mean,numeric,advanced,,,,"Shannon entropy in the frequency domain of the audio signal, measuring the unpredictability in the spectrum.",http://essentia.upf.edu/documentation/reference/streaming_Entropy.html
spectral_flatness,lowlevel.spectral_flatness_db,mean,numeric,advanced,,,0-1,"Flatness of the spectrum measured as the ratio of its geometric mean to its arithmetic mean (in dB). High values indicate a noise-like, flat spectrum with evenly distributed power, while low values indicate a tone-like, spiky spectrum with power concentrated in a few frequency bands.",http://essentia.upf.edu/documentation/reference/streaming_FlatnessDB.html
spectral_rolloff,lowlevel.spectral_rolloff,mean,numeric,advanced,,,0-25000,"Roll-off frequency of the spectrum, defined as the frequency under which some percentage (cutoff) of the total energy of the spectrum is contained. It can be used to distinguish between harmonic (below roll-off) and noisy sounds (above roll-off).",http://essentia.upf.edu/documentation/reference/streaming_RollOff.html
spectral_skewness,lowlevel.spectral_skewness,mean,numeric,advanced,lowlevel.barkbands_skewness,,,Skewness of the spectrum given its central moments. It measures how the values of the spectrum are dispersed around the mean and is a key indicator of the distribution's shape.,https://essentia.upf.edu/reference/streaming_CentralMoments.html
spectral_spread,lowlevel.spectral_spread,mean,numeric,advanced,lowlevel.barkbands_spread,,,Spread (variance) of the spectrum given its central moments. It measures how the values of the spectrum are dispersed around the mean and is a key indicator of the distribution's shape.,https://essentia.upf.edu/reference/streaming_CentralMoments.html
start_time,lowlevel.startFrame,-,numeric,,,convert to sec,,"The moment at which sound begins in seconds, i.e. when the audio signal first rises above silence.",https://essentia.upf.edu/reference/streaming_StartStopSilence.html
temporal_centroid,ac_temporal_centroid,-,numeric,advanced,sfx.temporal_centroid,,0-1,"Temporal centroid of the audio signal, defined as the time point at which the temporal balancing position of the sound event energy.",http://essentia.upf.edu/documentation/reference/streaming_Centroid.html
temporal_centroid_ratio,sfx.tc_to_total,-,numeric,advanced,,,,"Ratio of the temporal centroid to the total length of the audio signal's envelope, which shows how the sound is ‘balanced'. Values close to 0 indicate most of the energy is concentrated early (decrescendo or impulsive), while values close to 1 indicate energy concentrated late (crescendo).",http://essentia.upf.edu/documentation/reference/streaming_TCToTotal.html
temporal_decrease,sfx.temporal_decrease,mean,numeric,advanced,,,,"Overall decrease of the audio signal's amplitude over time, computed as the linear regression coefficient.",http://essentia.upf.edu/documentation/reference/streaming_Decrease.html
temporal_skewness,sfx.temporal_skewness,mean,numeric,advanced,,,,Skewness of the audio signal in the time domain given its central moments. It measures how the amplitude values of the signal are dispersed around the mean and is a key indicator of the distribution's shape.,https://essentia.upf.edu/reference/streaming_CentralMoments.html
temporal_spread,sfx.temporal_spread,mean,numeric,advanced,,,,Spread (variance) of the audio signal in the time domain given its central moments. It measures how the amplitude values of the signal are dispersed around the mean and is a key indicator of the distribution's shape.,https://essentia.upf.edu/reference/streaming_CentralMoments.html
tonality,ac_tonality,-,string,,"tonal.key_key, tonal.key_scale, tonal.chords_key, tonal.chords_scale",,,"Key (tonality) estimated by a key detection algorithm. The key name includes the root note of the scale, which is one of [""A"", ""A#"", ""B"", ""C"", ""C#"", ""D"", ""D#"", ""E"", ""F"", ""F#"", ""G"", ""G#""], and the scale mode, which is one of [""major"", ""minor""], e.g. ""C minor"", ""F# major"".",https://en.wikipedia.org/wiki/Key_(music)
tonality_confidence,ac_tonality_confidence,-,numeric,,tonal.key_strength,,0-1,Confidence score on how reliable the key estimation is (computed by the tonality descriptor).,
tristimulus,sfx.tristimulus,mean (3),array[numeric],advanced,,,,"Tristimulus of the audio signal given its harmonic peaks. It measures the relative contribution of harmonic groups in a signal's spectrum, where the first value captures the first harmonic, the second captures harmonics 2-4, and the third captures all remaining harmonics. It is a timbre equivalent to the color attributes in the vision.",https://essentia.upf.edu/reference/streaming_Tristimulus.html
warmth,ac_warmth,-,numeric,,,,0-100,Warmth of the audio signal. A warm sound is one that promotes a sensation analogous to that caused by a physical increase in temperature.,
zero_crossing_rate,lowlevel.zerocrossingrate,mean,numeric,advanced,,,0-1,"Zero-crossing rate of the audio signal. It is the number of sign changes between consecutive samples divided by the total number of samples. Noisy signals tend to have a higher value. For monophonic tonal signals, it can be used as a primitive pitch detection algorithm.",http://essentia.upf.edu/documentation/reference/streaming_ZeroCrossingRate.html
